"area_name","name","address","lat","lng","input_fld_1","input_fld_2","input_fld_3","web_state"
"那賀町","延野幼稚園","那賀郡那賀町延野字王子原93-1","33.82085458","134.4757052","771-5406","0884-62-2787","那賀町","public"
"東みよし町","三庄幼稚園","三好郡東みよし町中庄1130-1","34.03820379","133.9460543","779-4703","0883-82-4336","東みよし町","public"
"東みよし町","加茂幼稚園","三好郡東みよし町加茂2688","34.03626381","133.9230933","779-4701","0883-82-2042","東みよし町","public"
"東みよし町","足代幼稚園","三好郡東みよし町足代2708","34.04301323","133.901756","771-2502","0883-79-3285","東みよし町","public"
"東みよし町","昼間幼稚園","三好郡東みよし町昼間1550-1","34.04250998","133.877348","771-2501","0883-79-2987","東みよし町","public"
"つるぎ町","古見幼稚園","美馬郡つるぎ町一宇字太刀之本5-4","33.95127591","134.0620612","779-4301",,"つるぎ町","public"
"つるぎ町","太田幼稚園","美馬郡つるぎ町貞光字太田西107","34.04451904","134.0801794","779-4104","0883-62-5777","つるぎ町","public"
"つるぎ町","貞光幼稚園","美馬郡つるぎ町貞光字野口66","34.03564014","134.0603251","779-4102","0883-62-2538","つるぎ町","public"
"つるぎ町","半田幼稚園","美馬郡つるぎ町半田字田井289","34.03214015","134.0306596","779-4402","0883-64-3049","つるぎ町","public"
"上板町","神宅幼稚園","板野郡上板町神宅字喜来135","34.13380327","134.4141217","771-1320","088-694-5016","上板町","public"
"上板町","東光幼稚園","板野郡上板町西分字東光8","34.11715893","134.4285278","771-1330","088-694-5018","上板町","public"
"上板町","高志幼稚園","板野郡上板町高瀬字天目一1108","34.10415787","134.4191733","771-1347","088-694-5017","上板町","public"
"上板町","松島幼稚園","板野郡上板町鍛冶屋原字北原20","34.12061663","134.3994392","771-1301","088-694-5015","上板町","public"
"板野町","板野西幼稚園　","板野郡板野町那東字楠木15","34.1356829","134.4382138","779-0111","088-672-3502","板野町","public"
"板野町","板野東幼稚園大坂分園","板野郡板野町大坂字宮東20","34.17808066","134.4482152","779-0101","088-672-4703","板野町","public"
"板野町","板野東幼稚園","板野郡板野町吹田字町東8-1","34.1473869","134.4635636","779-0104","088-672-3501","板野町","public"
"板野町","板野南幼稚園","板野郡板野町下庄字真弓71","34.12373064","134.4573717","779-0118","088-672-3503","板野町","public"
"藍住町","藍住南幼稚園","板野郡藍住町奥野字猪熊89-1","34.12343711","134.4917369","771-1202","088-692-3843","藍住町","public"
"藍住町","藍住西幼稚園","板野郡藍住町富吉字地神79","34.137756","134.488586","771-1232","088-692-7855","藍住町","public"
"藍住町","藍住北幼稚園","板野郡藍住町住吉字乾1","34.13187537","134.5057485","771-1267","088-692-3841","北島町","public"
"藍住町","藍住東幼稚園","板野郡藍住町勝瑞字成長65","34.12866526","134.5190315","771-1272","088-641-2210","藍住町","public"
"北島町","北島北幼稚園","板野郡北島町北村字壱町四反地24-3","34.13592207","134.5523757","771-0201","088-698-3571","北島町","public"
"北島町","北島幼稚園","板野郡北島町中村字長池34-1","34.12486651","134.5488794","771-0203","088-698-3572","北島町","public"
"北島町","北島南幼稚園","板野郡北島町鯛浜字向42","34.11889497","134.5430638","771-0204","088-698-3573","北島町","public"
"松茂町","喜来幼稚園","板野郡松茂町中喜来字前原西一番越14","34.14286349","134.5742532","771-0212","088-699-4395","松茂町","public"
"松茂町","長原幼稚園","板野郡松茂町長原535","34.1181314","134.6030023","771-0216","088-699-5513","松茂町","public"
