"area_name","name","address","lat","lng","input_fld_1","input_fld_2","input_fld_3","web_state"
"徳島市","昭和小学校","徳島市中昭和町5-60　　　　　","34.0591","134.5638","770-0943","088-652-8079","徳島市","public"
"東みよし町","加茂小学校","三好郡東みよし町加茂2688","34.0366","133.9233","779-4701","0883-82-2017","東みよし町","public"
"東みよし町","昼間小学校","三好郡東みよし町昼間1637","34.0417","133.8767","771-2501","0883-79-2158","東みよし町","public"
"東みよし町","足代小学校","三好郡東みよし町足代2708","34.0437","133.9024","771-2502","0883-79-2104","東みよし町","public"
"つるぎ町","古見小学校","美馬郡つるぎ町一宇字太刀之本5-4","33.9513","134.0622","779-4301","0883-67-2311","つるぎ町","public"
"つるぎ町","太田小学校","美馬郡つるぎ町貞光字太田西107","34.0445","134.0802","779-4104","0883-62-2024","つるぎ町","public"
"つるぎ町","貞光小学校","美馬郡つるぎ町貞光字野口87","34.0372","134.0596","779-4102","0883-62-2039","つるぎ町","public"
"つるぎ町","八千代小学校","美馬郡つるぎ町半田字下喜来1","33.9955","134.025","779-4406","0883-65-0002","つるぎ町","public"
"つるぎ町","半田小学校","美馬郡つるぎ町半田字田井289","34.0321","134.03","779-4402","0883-64-2058","つるぎ町","public"
"上板町","高志小学校","板野郡上板町高瀬字天目一1108","34.104029","134.4189","771-1347","088-694-2815","上板町","public"
"上板町","神宅小学校","板野郡上板町神宅字喜来135","34.1344","134.4148","771-1320","088-694-2041","上板町","public"
"板野町","板野南小学校","板野郡板野町下庄字栖養44","34.1239","134.4566","779-0118","088-672-0102","板野町","public"
"板野町","板野西小学校","板野郡板野町那東字泉西5","34.1362","134.4382","779-0111","088-672-0309","板野町","public"
"板野町","板野東小学校","板野郡板野町吹田字町東2","34.1474","134.4639","779-0104","088-672-0026","板野町","public"
"藍住町","藍住東小学校","板野郡藍住町勝瑞字成長155-1","34.1275","134.5173","771-1272","088-641-2222","藍住町","public"
"藍住町","藍住西小学校","板野郡藍住町富吉字豊吉55-1","34.1348","134.4847","771-1231","088-692-2436","藍住町","public"
"藍住町","藍住南小学校","板野郡藍住町奥野字和田95","34.1217","134.4916","771-1202","088-692-2238","藍住町","public"
