"area_name","name","address","lat","lng","input_fld_1","input_fld_2","input_fld_3","input_fld_4","web_state"
"阿南市","富岡西高等学校","阿南市富岡町小山18-3","33.919003","134.650177","徳島県","774-0030","0884-22-0041","http://tomiokanishi-hs.tokushima-ec.ed.jp/","public"
"徳島市","城東高等学校","徳島市中徳島町1-5　　　　","34.07256089","134.5588461","徳島県","770-0853","088-653-9111","http://joto-hs.tokushima-ec.ed.jp/","public"
"徳島市","城南高等学校","徳島市城南町2-2-88","34.05529368","134.5423883","徳島県","770-8064","088-652-8151","http://jonan-hs.tokushima-ec.ed.jp/","public"
"徳島市","城北高等学校","徳島市北田宮4-13-6　　","34.089264","134.5306073","徳島県","770-0003","088-631-8105","http://johoku-hs.tokushima-ec.ed.jp/","public"
"徳島市","城ノ内高等学校","徳島市北田宮1-9-30　　","34.0916785","134.5454833","徳島県","770-0003","088-632-3711","http://johnouchi-hs.tokushima-ec.ed.jp/","public"
"徳島市","徳島北高等学校","徳島市応神町吉成字中ノ瀬40-6","34.12655188","134.5292454","徳島県","771-1153","088-698-8004","http://tokushimakita-hs.tokushima-ec.ed.jp/","public"
"徳島市","城西高等学校","徳島市鮎喰町2-1","34.0699606","134.5018371","徳島県","770-0046","088-631-5138","http://josei-hs.tokushima-ec.ed.jp/","public"
"神山町","城西高等学校神山分校","名西郡神山町神領字北399　　　　　　　　","33.9686637","134.3430483","徳島県","771-3311","088-676-0029","http://www.joseikamiyama-hs.tokushima-ec.ed.jp/","public"
"徳島市","徳島科学技術高等学校","徳島市北矢三町2-1-1","34.08606928","134.5252845","徳島県","770-0006","088-631-4185","http://tokushima-hst.tokushima-ec.ed.jp/","public"
"徳島市","徳島商業高等学校","徳島市城東町1-4-1","34.07448355","134.5730166","徳島県","770-0862","088-623-0461","http://www.tokusho.tokushima-ec.ed.jp/","public"
"徳島市","徳島中央高等学校","徳島市北矢三町1-3-8","34.08797787","134.5265981","徳島県","770-0006","088-631-1332","http://www.tokushimachuo.tokushima-ec.ed.jp/","public"
"鳴門市","鳴門高等学校","鳴門市撫養町斎田字岩崎135-1","34.178619","134.600922","徳島県","772-0002","088-685-3217","http://www.naruto-hs.tokushima-ec.ed.jp/","public"
"鳴門市","鳴門渦潮高等学校(撫養キャンパス）","鳴門市撫養町南浜字馬目木58","34.17273028","134.5951247","徳島県","772-0003","088-685-1107","http://narutouzushio-hs.tokushima-ec.ed.jp/","public"
"板野町","板野高等学校","板野郡板野町川端字関ノ本47","34.14127324","134.4699517","徳島県","779-0102","088-672-1101","http://itano-hs.tokushima-ec.ed.jp/","public"
"小松島市","小松島高等学校","小松島市日開野町字高須47-1　","34.00439946","134.5870247","徳島県","773-0010","0885-32-2166","http://komatsushima-hs.tokushima-ec.ed.jp/","public"
"小松島市","小松島西高等学校","小松島市中田町字原ノ下28-1","34.0154463","134.5775828","徳島県","773-0015","0885-32-0129","http://komatsushimanishi-hs.tokushima-ec.ed.jp/","public"
"勝浦町","小松島西高等学校勝浦校","勝浦郡勝浦町大字久国字屋原1","33.93145011","134.5133899","徳島県","771-4305","0885-42-2526","http://komatsushimanishi-katsuura.tokushima-ec.ed.jp/","public"
"阿南市","阿南工業高等学校","阿南市宝田町今市中新開10-6","33.92535168","134.6395691","徳島県","774-0045","0884-22-1408","http://www.anan-th.tokushima-ec.ed.jp/","public"
"阿南市","富岡東高等学校","阿南市領家町走寄102-2","33.92166336","134.6652818","徳島県","774-0011","0884-22-2120","http://tomiokahigashi-hs.tokushima-ec.ed.jp/","public"
"阿南市","富岡東高等学校羽ノ浦校","阿南市羽ノ浦町中庄市50-1","33.95968862","134.6279374","徳島県","779-1101","0884-44-2054
","http://tomihigashihanoura-hs.tokushima-ec.ed.jp/","public"
"阿南市","新野高等学校","阿南市新野町室ノ久保12","33.85069416","134.5961175","徳島県","779-1510","0884-36-3215","http://aratano-hs.tokushima-ec.ed.jp/","public"
"那賀町","那賀高等学校","那賀郡那賀町小仁宇字大坪179-1","33.85748637","134.4814356","徳島県","771-5209","0884-62-1151","http://naka-hs.tokushima-ec.ed.jp/","public"
"海陽町","海部高等学校","海部郡海陽町大里字古畑58-2","33.60766315","134.3580228","徳島県","775-0203","0884-73-1371","http://www.kaifu-hs.tokushima-ec.ed.jp/","public"
"石井町","名西高等学校","名西郡石井町石井字石井21-11","34.07258682","134.4408443","徳島県","779-3233","088-674-2151","http://myozai-hs.tokushima-ec.ed.jp/","public"
"吉野川市","吉野川高等学校","吉野川市鴨島町喜来681-9","34.07870261","134.3637189","徳島県","776-0005","0883-24-2117","http://yoshinogawa-hs.tokushima-ec.ed.jp/","public"
"吉野川市","川島高等学校","吉野川市川島町桑村字岡山367-3","34.05924945","134.3247422","徳島県","779-3303","0883-25-2824","http://kawashima-hs.tokushima-ec.ed.jp/","public"
"阿波市","阿波高等学校","阿波市吉野町柿原字ヒロナカ180","34.09901756","134.3515979","徳島県","771-1493","088-696-3131","http://awa-hs.tokushima-ec.ed.jp/","public"
"阿波市","阿波西高等学校","阿波市阿波町下喜来南228-1","34.087852","134.264954","徳島県","771-1701","0883-35-3131","http://awanishi-hs.tokushima-ec.ed.jp/","public"
"美馬市","穴吹高等学校","美馬市穴吹町穴吹字岡33","34.05275635","134.167495","徳島県","777-0005","0883-52-2108","http://anabuki-hs.tokushima-ec.ed.jp/","public"
"美馬市","脇町高等学校","美馬市脇町大字脇町1270-2","34.07101239","134.1486169","徳島県","779-3610","0883-52-2208","http://wakimachi-hs.tokushima-ec.ed.jp/","public"
"つるぎ町","貞光工業高等学校","美馬郡つるぎ町貞光字馬出63-2","34.04107339","134.056542","徳島県","779-4101","0883-62-3135","http://sadamitsu-th.tokushima-ec.ed.jp/","public"
"美馬市","美馬商業高等学校","美馬市美馬町字大宮西100-4","34.04892341","134.049454","徳島県","771-2106","0883-63-3131","http://mima-ch.tokushima-ec.ed.jp/","public"
"三好市","辻高等学校","三好市井川町御領田61-1","34.02871084","133.8749595","徳島県","779-4802","0883-78-2331
","http://tsuji-hs.tokushima-ec.ed.jp/","public"
"三好市","池田高等学校","三好市池田町ウエノ2834","34.0306652","133.8042725","徳島県","778-8506","0883-72-1280","http://www.ikeda-hs.tokushima-ec.ed.jp/","public"
"三好市","三好高等学校","三好市池田町州津大深田720","34.03795172","133.8495701","徳島県","778-0020","0883-72-0805","http://miyoshi-hs.tokushima-ec.ed.jp/","public"
"徳島市","徳島市立高等学校","徳島市北沖洲1-15-60","34.07209805","134.579123","徳島市","770-0872","088-664-0111","http://www.tokushima-m-hs.ed.jp/","public"
"鳴門市","鳴門渦潮高等学校(大津キャンパス）","鳴門市大津町吉永595","34.16529074","134.6023179","徳島県","772-0032","088-686-4577","http://narutouzushio-hs.tokushima-ec.ed.jp/","public"
